id,x,y,z,vx,vy,vz,m,t
2,1.0188005009211394,0.18793472956106522,0.0,-0.3290033033335201,0.4571106528814875,0.0,1.0,3.039999999999979
3,-0.11584502017818502,0.10523619599745171,0.0,0.9562592784725045,-0.8331097485778001,0.0,1.0,3.039999999999979
1,-0.9029554807429571,-0.29317092555851715,0.0,-0.6272559751389851,0.375999095696313,0.0,1.0,3.039999999999979
