id,gforce,gx,gy,gz
6791,8.102332959393011E-16,-3.535259326354565E-16,-3.8210864783099544E-16,-7.846714226322464E-17
34492,2.029884683392792E-15,9.142668088953912E-16,6.004646083068288E-16,2.1615282666153898E-17
43919,1.2277140641104942E-16,8.219925225142954E-17,5.4465315331248154E-17,4.8781337484427714E-17
62443,5.62236138062716E-17,-4.9981908594686177E-17,1.9202978177785952E-17,-8.665124920424493E-20
1338,3.9341146220113684E-16,-1.3082262805276587E-16,6.273995434282854E-17,2.453050766193428E-16
6652,3.640883217853936E-15,-1.4865068083155506E-15,-7.818986328164052E-17,3.0253613718668554E-16
15576,1.7955802485148942E-15,3.961606216018805E-16,7.794239183185977E-16,1.347997418010936E-16
21319,7.810208166441833E-15,-3.6735870030145516E-16,2.725949611187942E-17,-7.126419681643945E-16
25304,1.2835401317673692E-15,-6.57420836342182E-16,-2.492754605681614E-16,-1.3709470072101704E-16
27442,4.318691046544655E-16,3.0279102032859E-16,8.088711352708101E-17,4.890243782581917E-17
30178,2.1959012973442585E-16,1.3159707902037682E-16,-8.908188595853778E-17,-8.063595503848856E-17
35332,2.275407414217758E-15,7.724498016572323E-16,-1.98684785048789E-16,8.017933786775337E-16
38101,2.375984291282815E-15,-3.839997962131144E-17,-1.00472813316356E-15,-5.49654543337486E-16
41021,4.044571029670611E-15,1.9540947864514705E-16,7.174577208199186E-16,-1.2456720495870564E-15
43088,3.6556505185168087E-16,1.729734686009775E-16,1.3263579701202096E-16,-1.7006495089499982E-16
43109,1.9503286718634663E-15,-4.582904486563527E-16,6.209217883519266E-17,8.64992417663575E-16
44418,1.19013566941531E-15,5.742022049272907E-16,2.0416745493064935E-16,2.8079508043175866E-16
46858,3.1101292893096655E-15,4.232949120086044E-16,5.064876823251742E-16,-1.1149152210694067E-15
48411,1.5173991902124356E-15,-1.750136560658046E-16,-2.2505529282161446E-16,8.030311974507886E-16
50412,8.096976863353659E-15,3.06167360160471E-16,3.162282660589573E-16,2.9095053443668717E-16
53725,4.10131861501872E-15,7.156364165084933E-16,-1.1096488120003095E-16,-1.1016797297825931E-15
54274,1.1438118100680442E-15,4.05052908878663E-16,1.3064904640762687E-16,5.273465062603395E-16
57148,2.295161956194065E-16,-1.865293378003409E-16,2.5198382441320717E-17,-9.083503316930108E-18
59537,7.921262399316434E-15,1.5913720399896647E-16,-5.793971619241998E-16,-3.018222918776361E-16
3744,2.6247298218289803E-15,2.4985834604671497E-16,-1.1459622185279266E-15,-5.391151725375396E-16
5149,2.825445225665724E-15,4.0153829156424213E-16,-4.1940917928774774E-16,-1.1326451808152397E-15
8225,4.5545049435734555E-15,-9.094318873891938E-16,-5.247707608651956E-16,1.0180488042234361E-15
11600,2.791346745433307E-15,8.022582306700838E-16,6.351798579302875E-16,7.31825495953534E-16
11672,4.187262510888622E-15,-3.4331473794408735E-17,-1.2592877588925568E-15,7.734531792340539E-16
16303,2.594913054690544E-15,1.2089308896804513E-15,9.148489787264032E-17,-2.5218275064095736E-16
19081,1.1590699185311598E-16,5.300556563933936E-17,-8.42071815541615E-17,-3.8381250439834195E-18
24579,6.95706189676587E-16,2.271093563165057E-16,2.7068497475409646E-16,3.1654858804596397E-16
28246,5.059716173858315E-16,-1.4373165392848362E-16,1.8258394563582177E-16,2.8166949939292133E-16
39808,9.33962076555319E-16,3.033390374659305E-17,2.1853900432300133E-16,-5.291630942170765E-16
41182,2.018762993469895E-16,-1.4796622979607904E-16,5.418237721110707E-17,-3.643987032341246E-17
44406,7.406219419428817E-15,6.79630640681389E-16,-6.291566779275684E-16,1.5795199851310795E-16
48047,6.292163692446478E-16,-1.0604240044643757E-16,-1.2533731435807301E-16,-3.955241160089574E-16
49458,5.818558302749746E-15,-9.039235221544042E-16,6.301329555613905E-16,-9.18451753449704E-16
50844,1.957677612294004E-15,-9.018501330683374E-16,-2.682726765239725E-16,3.870003637954447E-16
53990,3.63938684520472E-16,-2.5728089581123157E-16,9.290173506843351E-17,-2.4530267818138053E-17
56238,9.818931181055607E-17,6.429492278057001E-17,-1.9796232919854354E-18,-6.253931835238831E-17
56571,2.35580921773661E-16,-1.6605142874818483E-17,-1.1607501939216464E-16,1.5125162175723835E-16
2412,3.485691691220278E-15,2.8793189988251917E-16,-8.223076136762384E-16,9.758953488988223E-16
9694,3.2444337383692457E-16,-1.2688467270377828E-16,1.3217928925548724E-16,1.6746374406345854E-16
14259,2.6299657339599283E-15,7.670362251252444E-16,3.2086253904405425E-16,8.38497336120968E-16
15966,1.871412987618797E-16,8.623949046596392E-17,-1.2780646690604059E-16,-1.0693710826835665E-17
16374,5.5442462325737565E-15,9.095058914311004E-16,1.171972325555224E-16,-1.228018026551483E-15
17428,4.509242852918991E-16,1.4808919815696085E-16,2.255436238479466E-17,-2.9130202597937096E-16
18430,2.5615650748007353E-15,8.120447030027086E-17,1.0980117554496355E-15,5.076987784357428E-16
20155,9.864929366061405E-17,3.943364610116317E-17,-2.9370571850494534E-17,-7.509563042382048E-17
27940,1.3886611000233447E-16,9.681459125539422E-17,-3.119963656452642E-17,6.526172910906819E-17
34621,1.1541487514918676E-15,2.992337194097281E-17,3.256421502482726E-16,5.716757938171417E-16
40530,1.5459955875028076E-15,2.3801990395523926E-16,-4.063515738564984E-16,7.409544562341268E-16
43623,4.460114759663018E-15,1.6503079927693186E-15,3.839781324019497E-16,1.7058285527012836E-16
45856,9.325061878644748E-17,-4.526554667815465E-17,-6.698397176234581E-17,2.756769969010997E-17
49509,2.3621806851651038E-15,-2.1021194363070366E-16,-1.098065638465122E-15,2.2936070812784553E-16
49644,1.3779861665193718E-15,7.40504898746026E-16,2.7501304032010053E-16,-1.216346725328389E-16
50478,7.816738188456416E-16,-4.1865159222822905E-16,-7.89152748863926E-17,2.921256305415868E-16
63042,3.027233458237147E-16,-1.0266558745043733E-16,-2.125016173026819E-16,2.4496411993784444E-17
1091,2.3619006740727254E-15,-4.512302948981251E-16,-3.425266483251858E-16,9.75009458986621E-16
7191,1.854705345251768E-16,-1.202472586451116E-16,-4.3563395876957216E-17,-8.933435559226181E-17
7862,5.903623104411771E-15,-1.002720202503061E-15,5.809309516606558E-16,9.454539244187808E-16
13206,1.8918822688403956E-15,-9.786903850744543E-16,-1.6876867355999885E-16,2.2068111860329624E-16
40444,9.086247884911878E-16,-3.870237419544244E-16,-3.7162353903386175E-16,2.2395659264674175E-16
41494,2.5942593719671E-16,1.2803274185145537E-16,1.6001624832954919E-16,-4.256923081925806E-18
42962,3.115042415460881E-15,-9.54835635224083E-16,7.488815513043391E-16,6.029772077510924E-16
50411,4.337519419493355E-15,-8.116762767274724E-16,-1.1848092110006672E-16,-6.9988626182634E-16
53857,3.1641746691658875E-15,1.197169728155155E-15,-5.499150598739122E-16,9.839966239821655E-17
54018,4.864614109673285E-16,-1.8488009623831627E-16,-1.6069366716520079E-16,-2.6075305522115685E-16
54131,6.025036069594507E-16,1.8264841313211233E-16,2.1758063929129314E-16,2.773581329589964E-16
59289,9.411165684995848E-16,3.545231260966184E-16,4.499769939807721E-16,9.492361796787304E-17
62122,6.9197234759833795E-15,2.4993001742503425E-16,-6.909977216130549E-16,5.62830245044018E-16
5763,2.706094444741608E-15,6.03955751543578E-16,5.860734816787307E-16,8.85874388857036E-16
6305,5.171085247038179E-15,-8.239653164211155E-16,-1.2875399439843473E-16,-1.4811712199517721E-15
