id,gforce,gx,gy,gz
7379,2.8212180333685746E-15,9.17140452595469E-16,-8.198535957766627E-16,3.9218795483136697E-16
13705,1.7222008100230697E-16,-1.450081715879066E-16,-1.7050413443799834E-17,1.753566893304902E-17
21366,5.646948170367608E-16,2.002862701324189E-16,-4.10191503022811E-17,3.4816121179410616E-16
25144,5.972055848819373E-15,1.4628446330583623E-15,2.868255050402558E-16,8.295464091110741E-17
33198,2.1438308368087206E-15,6.688411794010829E-16,-6.760663098212199E-16,5.116298688245339E-16
41171,2.126798195328524E-15,8.340132540148901E-16,-2.1838472668448139E-16,6.14634732899809E-16
43283,3.4797458882142127E-16,-9.730316247661657E-18,-2.5998396743662657E-16,6.230042299149899E-17
43853,1.5633279145791778E-16,6.983460698515768E-17,1.1380888878636498E-16,2.0160467017474932E-17
45806,6.136747429684582E-16,2.6514184160500788E-17,2.800853908406408E-16,2.801387638610824E-16
46042,4.0723918056971964E-15,-6.732528811343805E-17,1.5473010072580624E-15,-5.744053691575335E-16
47255,7.10924504662471E-15,1.3455657605000472E-16,-1.3398741669620323E-16,1.130686648362617E-15
53970,1.1684337770161124E-15,2.103557294759238E-16,2.4069767369134304E-16,5.865563920158249E-16
62718,4.555422464802387E-15,1.394547693461519E-15,5.380786721836305E-16,4.2918794248606226E-16
4363,6.2953242317439584E-15,2.083996743608355E-17,1.391210394684393E-15,-5.878628358264107E-16
17347,2.0141132920559817E-16,3.9281609938572505E-17,1.0590004439884967E-16,1.23597863863993E-16
21825,1.1706266505413046E-16,-5.4913168538949914E-17,3.4449327452534105E-17,8.279471582985109E-17
22828,4.438697189072074E-15,3.3414430521451086E-16,-6.860669090364951E-16,-1.3396600651546902E-15
24792,5.6004800955893065E-15,1.3841415804581964E-15,5.7796704389099805E-18,2.92641182655655E-16
27283,1.6095918446364504E-16,-6.41252793179356E-17,-1.1763842293891694E-16,-4.0593617792296896E-17
28285,5.556228214748237E-15,5.874277608151877E-16,-1.3514265369575745E-15,-5.469694481679086E-16
31076,4.757492462056622E-15,-5.188735660907326E-16,4.057508661258641E-16,1.4942588956664125E-15
33469,1.7696186988287338E-15,-5.321627304790212E-16,-7.814630863587136E-16,3.501627544544085E-17
35503,7.071521233152012E-16,-1.1106428404771425E-16,5.7810862417806196E-18,4.535594315986376E-16
41371,1.5476474509465186E-15,-2.3538998454540955E-16,-8.022151608976756E-16,2.31701909240198E-16
43138,1.7834748476287753E-15,8.17735841955071E-17,-9.327772634066434E-16,2.40784216564104E-16
44081,3.015019458536706E-15,5.4659603658155526E-17,-2.7968421478863677E-16,1.2364835829628664E-15
45922,3.7947501831075906E-16,-1.5096649618079578E-16,-1.2350153635706428E-16,1.9211272043190734E-16
46405,5.040644973103984E-15,1.7750569512897273E-16,3.221104739899371E-16,-1.5448796117849304E-15
47549,6.235046640596983E-15,-7.723742185363874E-16,1.0728264427590416E-15,2.9113948316968974E-16
50236,7.478833257224943E-16,1.552697198253445E-16,-4.279380637747155E-16,-2.0310926620275997E-16
50612,8.250777586323605E-16,5.899417881604833E-17,-4.3268114574382193E-16,-2.980026794258168E-16
53399,2.968006580725497E-16,-1.0004389875941538E-16,-1.9871300806765946E-16,-1.754463489445186E-17
55190,5.848735718805723E-15,1.5235930164507602E-15,-1.3011134019469936E-15,-1.501316400917783E-15
56904,1.2865058291934002E-15,1.836638550877104E-16,-6.686726720627499E-16,3.000635645048834E-16
61355,1.345072953033126E-16,7.913353418089344E-17,1.2579657589652907E-17,8.487706430056463E-17
255,1.1139092678390264E-16,-8.405087635267398E-17,-1.0488833934263359E-17,5.133208090458259E-17
385,4.388704368422892E-16,1.177881049087746E-16,1.3713112945921575E-16,-2.5736408879483117E-16
1149,5.784264800771543E-16,3.6160746998989966E-16,-1.5698232330346375E-16,-1.0747097541703968E-16
2005,4.9352493642907714E-15,-4.812660103493286E-16,7.580279325493057E-16,-1.2577643399937058E-15
6994,2.8212874146463057E-15,3.721771145233993E-16,5.42574023769354E-16,9.359948975521957E-16
8445,5.827391717458564E-15,-5.365485258435847E-16,-1.3902064742023847E-15,1.9474303511763354E-16
21302,4.690382933608583E-15,-1.226150264661425E-16,-1.5384915489541678E-15,5.0923856027417E-17
21423,2.56504620676355E-15,-9.562749286871248E-16,8.133085257298199E-17,-6.955080883191122E-16
25860,7.443431640073014E-15,9.159910682325348E-16,2.746748903860275E-16,-1.1582582181405682E-15
33488,2.817668608409605E-15,2.6709507665490676E-16,9.023453976498564E-16,-8.608959061064101E-16
35510,2.108006115419308E-15,4.446919451677468E-16,-7.460037289310978E-18,9.759899817132794E-16
36078,1.3280242145550709E-15,7.708517433784269E-16,1.2296074184070745E-16,8.039382903099812E-17
36960,9.62797538386514E-16,-2.0703437939245743E-16,-5.493407258001557E-16,-5.616431840856302E-17
41490,2.883474138007385E-16,-1.7876751001816017E-16,-1.2798759135293994E-16,3.6120361957631194E-17
41594,1.0728486673346578E-15,3.8294876128585345E-16,4.444805368463036E-16,-2.8368283179021095E-16
42930,6.6095039826230034E-15,-4.27689125164849E-16,1.1955930442142936E-15,-7.129621931847883E-17
46841,1.0382642955587794E-15,4.0537909472868476E-16,4.557855709152497E-16,9.971522650199717E-17
46863,6.574111504265526E-16,-3.4920361937813106E-16,-5.334342416339602E-18,-2.8252463059350967E-16
47856,1.3058525483148393E-15,5.950969127429052E-16,-3.250732597140174E-16,3.6312099046849926E-16
52865,1.5237169613054372E-15,4.82736552975864E-16,-3.951533158875231E-16,4.772278565412647E-16
60814,3.709332657238713E-15,7.756088163665558E-16,2.991326767376977E-16,-1.1627312115713437E-15
3657,1.3314409381447268E-15,-6.151695275766533E-16,-4.0149267972693003E-16,-1.2487078760570408E-16
5835,2.050641903876741E-15,-1.1642124164640995E-16,-9.901393730228942E-16,-3.502175135289997E-16
10009,1.4400923794933585E-15,3.93187406675272E-16,-5.361239074535001E-16,4.771259422501117E-16
14825,7.691880902256154E-15,9.385492130599975E-16,5.332381124310648E-16,4.531356548398679E-16
22640,4.0125222279372965E-16,-1.197700129456917E-16,1.7252651312249704E-16,-2.049843773566621E-16
25218,1.199751248335869E-16,-2.724032584995743E-17,9.245459261236878E-17,4.798177534810239E-17
30100,6.155387744255853E-16,2.5444575751299165E-16,-2.491788049584336E-16,-2.503383650018579E-16
33940,5.474413886255466E-15,1.2693026876776455E-18,-1.5229074650387638E-15,-1.0049017669480506E-16
42319,8.16963434367348E-15,-2.5333684864509256E-16,4.0956556156085365E-17,-1.7743181994484975E-16
45180,8.569220486790258E-16,8.901184733858263E-17,-4.775361175696672E-16,2.6793959885469643E-16
46644,2.9785920453033383E-16,3.1615913694954986E-17,2.2990339394007587E-16,-2.4037304521876866E-17
