id,gforce,gx,gy,gz
46100,1.076226387569218E-15,-1.880405718566627E-17,-6.68014600690726E-17,-6.451769693403868E-16
48421,4.763351318598959E-15,4.62586382081592E-16,-9.035486993586643E-16,-1.1664762963900753E-15
48738,2.2787912808414987E-15,6.877358734396133E-16,-4.502455949790351E-16,8.080943358959365E-16
50627,1.1091987003642135E-15,1.2966756949751142E-16,3.592291655692524E-17,-6.350623306097323E-16
52953,9.998750278900644E-16,5.7152975679754755E-16,2.1801250360312961E-16,7.388843518519906E-17
38,2.959438386241196E-16,1.206683267752518E-16,-2.506203542504517E-17,1.9997761387574619E-16
11044,2.45439719389303E-16,1.1582919398068632E-16,2.4764037869155757E-17,-1.601975692998598E-16
22811,3.2952911833417056E-15,5.733207316500272E-16,-1.0098808604789382E-15,-8.500996104970857E-16
30491,2.2015067231705585E-15,9.593671309036546E-17,1.0085686092534246E-15,-1.2605363120251172E-16
38987,5.668516502433814E-16,-4.922944238686975E-17,-3.8742504222527517E-16,-1.8191970110316166E-17
43426,6.190336183439299E-16,-1.3865422584410375E-16,2.1081130727071383E-16,-3.455896550690899E-16
48979,2.422642436895941E-15,3.004131902689274E-16,7.529641834153479E-16,-8.334827708196751E-16
49246,4.474889063334176E-16,-2.3144765774638633E-16,1.7152280442514578E-16,1.5825291460106833E-16
54629,6.534497443361924E-15,1.2147044368879027E-15,9.63389284589895E-16,-1.9171828311602308E-16
58608,2.8431383874374688E-15,1.1869976136009763E-15,-5.681496106953531E-16,-1.666374012152729E-16
4255,9.920555074053783E-16,-1.2471762680821875E-16,-5.828287902122259E-16,9.25429469920559E-17
10713,2.0003737285725253E-15,-6.597783235219944E-16,6.044042946330608E-16,2.49743135405109E-16
27053,9.040583252891512E-15,7.295619454016872E-16,4.424357411238784E-15,9.938619327821676E-16
34013,1.9844212735312062E-16,7.242557134163216E-17,-1.1381105131334506E-16,-9.134280925358782E-17
34328,6.12676722107807E-16,3.929529803336213E-17,-3.802473128356321E-16,-1.774049921367632E-16
39230,5.949136685625007E-16,-2.4109582959474694E-16,3.16677870134435E-16,7.474699748226281E-17
42521,1.9102525199079113E-15,-2.354578882697153E-16,5.407205179309208E-16,7.864488607768436E-16
45653,5.8161622276596065E-15,-1.0499276581829945E-15,-8.607138196285682E-16,-4.568211688922541E-16
58930,1.5323468466439316E-15,-7.390921465274126E-16,-1.1247791781190356E-16,2.892091393676122E-16
59916,1.098123596724993E-15,6.613100635986533E-16,-4.5505942036092175E-18,-5.748233904032266E-17
60248,6.936021065352981E-16,-3.914095044361486E-16,-7.436472382295998E-17,-2.43074280843514E-16
60656,5.666056145970843E-16,8.209248994710867E-17,9.915035923668526E-17,-3.6884407883628807E-16
20907,3.737424440951523E-15,-1.0856067369383755E-15,-1.0215404240571011E-15,5.793259170773597E-16
21156,5.168305607213387E-15,4.724289031516117E-16,1.1245848852270718E-15,-7.420720470827735E-16
24474,7.389084195030968E-16,-1.6531426550662365E-16,-4.585182954753206E-16,-5.742539933348736E-17
25726,5.18115025393974E-15,4.040691495605582E-17,-5.439927947123259E-16,-1.7017373750785587E-15
26139,1.443393498110306E-16,8.66312279280128E-18,9.375878525331745E-17,8.40763336119736E-17
29590,7.617415227357901E-15,4.8908791227557E-16,-4.4142058490937746E-16,8.065129321644765E-16
29679,5.072415905737037E-16,-2.7443435480577383E-16,-1.7696534169289318E-16,-1.5525152748430315E-16
39626,8.802049371352616E-16,-3.5743262989813852E-16,1.678421805674189E-16,-3.9835303264428833E-16
