id,gforce,gx,gy,gz
46402,3.233127147833035E-15,-1.3470151645473907E-15,-2.2315807917087826E-16,3.382631365611496E-16
46465,2.311536757143733E-15,-4.662967548691628E-16,4.523467288167453E-16,-8.36803189453364E-16
49377,9.82381624373316E-16,3.634090642804539E-16,-3.8009521999561613E-16,2.9063528349214004E-16
50004,3.4866175699333077E-16,4.632111168550342E-17,2.167434006945673E-16,1.5122189041968014E-16
51183,4.96467225035902E-15,3.3922941305092907E-16,-6.677259769816355E-16,-1.3853805031954313E-15
51332,3.0998936838480113E-16,-2.0958806328994248E-16,-6.443263366623583E-17,-9.82717886900612E-17
52173,5.039746980391627E-15,-6.771308722380476E-16,8.22853018975426E-16,-1.0647277964286705E-15
52395,4.617012450593234E-16,-2.236434358962794E-16,-1.2971235503653426E-16,-2.2507019373265048E-16
52829,1.1391696846523123E-15,3.5390386015365215E-16,-5.6528066234877395E-16,-1.5780731047300562E-16
55303,7.930863665573282E-15,4.0168262670381977E-16,1.3567957856814473E-16,-6.684811062062306E-16
63530,3.717004960459521E-15,1.8805953736978273E-16,9.05375704272192E-16,-6.437360556896772E-16
11125,2.886505280796164E-15,-7.323076578731847E-16,7.221200398624603E-17,-1.0960668321637232E-15
14523,2.0293698717423335E-15,8.059914454279307E-16,-3.713112817568747E-16,-5.558055207355064E-16
14933,1.1070040115293987E-15,-4.904774373853547E-16,-4.523319592293107E-16,-2.7456167277732175E-16
19179,1.4576839829632157E-15,-7.717063941358096E-16,-8.962298888360255E-17,2.5349311324441425E-16
22191,2.0891882295919178E-15,9.917269663734358E-16,5.04269622246235E-18,4.495796617605099E-16
22733,6.302851570768664E-15,-9.545491660525825E-16,5.604723712906082E-16,-6.520544541031583E-16
23271,2.865078524377142E-16,7.485283109952739E-17,-9.314297675742722E-17,-1.9603960455276524E-16
23337,1.0067639358571351E-15,-3.962681468333444E-16,4.617446947485604E-16,-1.5018184727925117E-16
25444,4.699879970796652E-16,2.922215965245978E-16,-1.377712096513663E-16,-9.401534845328778E-17
41891,4.902803754824689E-16,-1.833505440776797E-16,-2.2734608193723477E-16,1.963263045435915E-16
43644,1.2727185038759895E-16,2.612605402826221E-17,-1.0840922329239325E-16,-1.607996890772854E-17
2377,7.4889692788253E-15,-1.9919866447498712E-16,4.994921571987433E-16,-9.833418391119438E-16
8377,2.104493806972468E-15,4.242995085335159E-16,-5.985380702838347E-17,-9.657238754611655E-16
8803,8.438422393453829E-16,4.2689842247176764E-16,1.412793342085416E-16,1.7981552298408296E-16
11791,2.261635190944157E-15,-5.838729805160229E-16,4.4290088396473084E-16,-8.667013285060514E-16
12722,5.115253375035011E-16,2.777023502946001E-17,-3.1994653897796742E-16,-1.7511637672413988E-16
16948,7.341373186821314E-15,9.107490914265952E-16,5.652428038477013E-17,-5.836303738708522E-16
19767,5.960125690062751E-16,-1.1987329641858134E-16,-3.294073766032653E-16,2.1001098782697232E-16
23354,1.3326373797551512E-15,4.650115034416965E-16,-2.7713114186929824E-17,6.03564681568691E-16
27421,2.8764116269664746E-16,6.548440103838331E-17,-1.4708288139349926E-16,1.4354430904763352E-16
30203,1.0216006189449993E-15,3.804591720915895E-17,-6.8327656679124E-17,6.307284345771211E-16
31115,1.7986663473559477E-16,1.7319116080024938E-17,9.58927169296298E-17,1.1445939247265207E-16
31929,3.5135118114310744E-15,-5.271213779611437E-16,-3.0923033314624347E-16,1.1511773257153087E-15
34963,1.0741921598185206E-15,3.055015533110873E-16,-2.9909170755157497E-16,-4.775768293942423E-16
41439,5.231659955339517E-15,7.975494825112527E-17,1.2757379787244037E-15,-8.4406714752989E-16
43719,4.1354444459339955E-15,2.546815308488157E-16,1.3910748706364018E-15,-2.240014814102589E-16
51555,3.587060673816387E-15,-4.875675872636682E-16,-1.3120206558556114E-15,5.1349638351054855E-17
59742,3.842989475467368E-15,1.1402968335605215E-15,8.69797107703297E-16,-1.5373096350807003E-16
56918,4.602798928221652E-16,-2.166320362015781E-16,1.73420942900433E-16,-1.9274223792528124E-16
60323,1.8486213008766085E-15,-5.025226757450266E-16,5.4003916132777345E-16,-6.059269579106996E-16
797,1.8282548781418895E-16,-1.1145056540997968E-16,1.0593840035035364E-16,1.1043096634780949E-17
1048,6.846974813926571E-15,-2.9219060764011596E-16,1.296295350841996E-15,6.662753643094276E-17
5382,1.3429214240958742E-15,7.490881624537604E-17,-2.5349588000301086E-16,7.361210554609409E-16
7487,2.844606184687067E-15,-5.924865942497619E-16,1.9354122752806896E-16,1.0945107804528754E-15
11588,1.160722309020492E-16,6.73730465228183E-17,-7.662649049104414E-17,-1.545857441161494E-17
14158,6.098423700073057E-15,-1.283818136363806E-15,3.461788238721103E-16,6.181152366108145E-16
17183,5.65450592329914E-16,1.7198874947120752E-16,-2.7765364849117436E-16,1.1628694191322691E-16
17664,6.274084391096521E-17,-4.0677038610244094E-19,4.096397721407977E-17,4.279602496735175E-17
19097,2.94104546767946E-15,-2.7248831989306524E-16,1.054310097125725E-15,-6.88741096269196E-16
20997,2.326949083941709E-16,-3.4399058254572535E-17,7.009633874462308E-17,1.7113310418897636E-16
30334,3.2118745654676914E-15,2.028456586153989E-17,-6.757715350165425E-16,-1.1882120902449489E-15
30345,3.774186609615644E-16,-9.567680292816815E-18,2.467845127198008E-16,1.3493709054378814E-16
49262,7.533161078397273E-16,3.54271552309554E-17,-3.980930468937206E-16,-3.0079842511493143E-16
52299,6.849567664052065E-16,-2.2965857174025174E-16,-2.863424427898852E-16,-2.5815836995285603E-16
57293,1.5518115635722294E-16,1.1066502849118783E-16,-6.870855596017955E-17,3.273543789436424E-17
57939,3.05255770345448E-15,-4.325729486983615E-16,1.0642371431798914E-15,6.684930542278171E-16
58857,2.5148710182319706E-15,5.440889464343862E-16,4.760573967748239E-16,-9.009996920094702E-16
63439,4.880815883005578E-15,4.097432880412318E-16,1.166801388281961E-16,-1.5205040730750163E-15
10595,1.1007015684376413E-16,-1.1190576280322225E-17,-8.661002789099297E-17,-4.709899211023618E-17
19679,9.255079004130537E-17,7.767176919701953E-17,1.3302510774859584E-17,2.6326149626224105E-17
23735,2.6738782002158697E-15,4.864140473207948E-16,9.493933448191032E-16,-6.18999800195199E-16
28844,1.5417427566459896E-16,-1.0684713841326754E-17,-7.95007112862578E-17,1.075595947781558E-16
32986,6.325491275786023E-16,-2.866390399583318E-16,-2.4351657922344827E-16,-2.1382954805744104E-16
35381,1.6894614697485446E-15,-7.415300008920172E-16,-1.4380106534903587E-16,4.182299168911788E-16
43307,7.712762225007584E-15,6.502763190582236E-16,-5.948352154646027E-16,1.101654730445884E-16
50936,5.21465783656922E-15,-6.134873265646997E-16,8.269672176832157E-16,1.2724434091852134E-15
57070,4.744741877519539E-16,-5.889425529972084E-17,-2.517484706719868E-16,2.2642876841297844E-16
60348,3.498139991404077E-15,-7.201590606441702E-16,-4.753659302149051E-16,1.0927007283599568E-15
2113,1.2030254942285346E-15,2.4593931131837056E-16,-6.378213250264323E-16,-1.829785266010897E-16
13323,5.609571269887437E-16,5.323893351867633E-17,2.8032249597460933E-16,2.5840040893943996E-16
18998,1.704439477109349E-15,-1.0940369245559556E-16,9.52739182148462E-16,8.858842942042674E-17
22164,1.1187304227235636E-15,-4.459259379634907E-16,-4.622309762035377E-16,-2.3102471129677595E-16
26098,6.675845552017518E-16,1.6808987471170475E-16,3.501813856232839E-16,-2.3335855985132513E-16
26789,6.265172265303081E-16,-1.860468888818532E-16,2.410273202850533E-16,-2.878546270871823E-16
31067,4.2019224037478685E-16,-6.631630177123104E-17,-2.993551172300243E-16,6.220109187997082E-17
36454,4.0260065073180464E-15,7.226042153323069E-16,-2.706367254928769E-16,-1.1539984178924598E-15
36672,6.572928178113707E-15,-1.6433954902680072E-16,-1.3220287062190052E-15,-8.074688322149274E-16
41941,1.9771245341670284E-15,-2.3049990323071763E-16,-8.344725143892132E-16,5.385857495225644E-16
48997,2.983511225952691E-16,-8.772105145086196E-18,-1.113210264175823E-16,-2.0501747098643207E-16
56194,2.797364893496319E-16,2.0520350128223354E-16,8.129468894925633E-17,-1.4600114851392975E-17
56214,3.0778758600101583E-16,-1.7709682513587904E-16,1.1588984708176328E-16,-6.169471634420555E-17
60427,9.511195248911345E-16,1.0451655929412445E-19,-5.028777938773111E-16,-2.6333310205499086E-16
10370,2.1900422576584316E-15,7.949720647695492E-16,-7.351044712659796E-16,2.818464419210785E-16
13049,1.0460033796970816E-16,6.196209905175685E-17,4.4185947054290956E-17,-5.672472628650388E-17
18640,2.873183613108908E-15,-1.0951870990366013E-16,1.850414155498621E-16,-1.245639804351161E-15
30943,3.57009415226095E-15,-8.752926247849361E-16,8.096067764171888E-16,6.607702591796934E-16
32185,5.618934627233129E-16,-3.1742264234212034E-16,2.121731387800394E-16,-9.942090666487664E-17
35409,7.867258885266352E-15,-4.212475881531433E-16,8.438748870504549E-16,7.28481595975893E-17
39297,3.71332750065787E-15,-1.6180678378446915E-16,-7.388179969225985E-16,1.07722296252099E-15
42645,1.219589305952163E-15,7.31204925129299E-16,-2.080143321280495E-16,-1.981861559991663E-16
42746,1.1276760150969253E-15,3.5038936487262655E-16,-3.627351870847269E-16,4.500494902872937E-16
9134,1.2392647311582183E-15,-3.0080568509872633E-16,-5.432154290918039E-16,3.804871954430925E-16
10589,2.237204344700103E-15,4.90366464719265E-16,7.430824032577325E-16,6.016419371290781E-16
11568,3.0003522114217963E-15,9.892089714904183E-16,-8.099430669249918E-16,-2.962454742592583E-17
22406,3.370755997671317E-15,-3.3671257984850906E-16,-2.436721320947052E-16,-1.3675392488081667E-15
23084,2.21284275535367E-15,8.748895593446419E-16,-5.793088093606567E-16,-3.3117989353412E-16
25601,6.3030005433936015E-15,-7.19753260754421E-16,1.4449908495604152E-15,-2.2235221959253697E-16
26318,2.519706071201725E-15,1.2922258090711217E-15,6.576872371268719E-17,-2.6208516732497325E-17
27688,1.0851627550009273E-16,-1.9138393862238416E-17,-7.937506812930578E-17,-5.504664706157048E-17
31320,2.173447047341933E-15,-7.942549694496759E-16,3.487224449781763E-16,5.130005056061052E-16
35372,2.5139678216466356E-15,6.820323329566224E-16,6.478361046417479E-16,-6.582642442577084E-16
36394,1.2050960139510678E-15,7.530295612905915E-17,-2.773021290948809E-16,-6.269122594402566E-16
36865,6.528769153458689E-16,-3.0192164579561664E-16,1.1544331496226888E-16,-2.9908199551332526E-16
43897,1.8221693405121596E-15,-9.170573804574711E-16,-5.522582055712294E-17,2.4617337032381453E-16
49805,8.242055615626712E-16,-4.698129870819436E-16,-1.6903661253138417E-16,-2.3131294063411866E-16
51579,9.145474754578855E-16,3.732595366362026E-18,1.3491277712972304E-16,5.566961499791978E-16
56501,9.939607236070455E-16,-2.6450902900256777E-17,-6.012176921322559E-16,1.8407295989422582E-16
57418,5.211240746304352E-16,2.0786874247063228E-16,3.047341866964565E-16,5.2907165714777996E-17
61307,7.564550293099262E-15,2.793893233023374E-16,-2.2639090636718356E-16,-5.794415239241058E-16
61515,1.1632220750274914E-15,5.63572065168761E-17,6.387728444663639E-16,-1.8821817161207462E-16
49959,3.3832452661323988E-15,-5.028755390532149E-16,3.6449299581349874E-16,-1.2047916650064005E-15
57190,4.1477658191882644E-15,1.2237208622507372E-15,8.512026586053601E-16,2.3971727424246853E-16
58604,4.840744731682731E-16,3.3256146818327144E-16,9.24836735699208E-17,-5.090196257441919E-18
59469,3.5524911505398546E-16,-1.2971559613353937E-16,-1.556371551114642E-16,1.8072818185944796E-16
60357,2.6875106611729263E-16,1.9687982879976615E-17,-7.369533802393597E-18,-2.107551368798959E-16
1608,4.530413596666236E-15,1.1246753300831856E-15,-6.283327961798334E-16,9.948694413640879E-16
1994,5.687117266050874E-16,-2.2411542243292224E-16,-2.8291308199199624E-16,1.6662908640835636E-16
3758,4.738152804283485E-16,-3.789389006444237E-17,-2.538620085074142E-16,-2.2967343118429515E-16
4143,1.3697365091315478E-16,1.031921779869917E-17,6.351738342210877E-17,-1.0275215242232777E-16
7368,2.5650610584209207E-16,-2.4902595059793083E-17,3.860047478135383E-17,-1.9743690875757703E-16
13654,3.729983053623942E-15,-1.1484017817329025E-15,-1.0109199288191362E-15,5.658362671402356E-17
27200,4.445815933487472E-15,-7.680195790516753E-16,1.3045533426750315E-15,7.198868084428375E-17
42836,1.416098464901135E-15,1.479027675368405E-17,-5.200110874836449E-16,-6.450165377210794E-16
53515,1.2176374797733887E-16,7.732180993397102E-17,-6.900187293761926E-17,2.286616819649601E-17
53883,3.769813990581582E-15,-2.712275282462795E-16,1.3724410422971548E-15,8.542821630767715E-17
62772,4.875924267512659E-15,1.0457947239258007E-15,9.880087844600112E-17,-1.2553515092746137E-15
4472,1.2357236507806094E-15,5.169567273724655E-16,2.5285670651761976E-16,-4.708406021886089E-16
10591,3.519830835392126E-15,8.268341156560504E-17,2.0250771071059415E-16,1.4186523591558532E-15
10872,1.7928016682424629E-16,-7.807034564102496E-17,4.0202774570339745E-17,-1.2499749512154497E-16
