id,gforce,gx,gy,gz
48752,2.4164260141034046E-16,-1.6749026314927326E-16,-1.3251607568440387E-17,-9.996160138124774E-17
52560,1.5059087681914432E-15,6.586029252204298E-16,-2.016421677004383E-16,-4.948192948186769E-16
59619,3.1386311192934966E-15,6.734444182609462E-16,1.056929219668757E-15,-2.9675959289495666E-16
62985,3.95442986602049E-16,-1.1495298770551656E-16,-2.6993099478499704E-16,1.0516917831548952E-17
641,1.3881262281019104E-15,-3.9292061595526305E-16,5.140998238811276E-16,3.788735949689343E-16
881,1.592116106026151E-16,4.190124085296028E-17,-1.1374950263110286E-16,6.449451779372697E-17
2224,5.5004598913487475E-16,-4.276317824421121E-17,-3.4292963813706804E-16,1.5259396993574127E-16
7808,9.77054430223322E-16,4.670414905545991E-16,-3.3794942393698375E-16,1.1108754138756353E-16
16995,8.128255819788992E-16,-3.990061813288307E-16,2.5422927018591457E-16,2.470450079095372E-16
17623,4.3208470685036683E-16,-2.376606562747705E-16,-1.6090520474689586E-16,1.3219113091645534E-16
34871,3.221946560149293E-15,8.825920926107356E-16,-7.745272015131669E-16,-6.788666581231393E-16
35582,4.9084770069161055E-15,-1.0596436733765335E-15,-7.324182977820274E-16,8.433386154427198E-16
38901,9.844787924307641E-17,3.1622289240745985E-17,-9.150810360116566E-18,-8.314295819254497E-17
42392,4.5319901242591654E-15,8.784028356900818E-16,-1.0798579407605664E-15,4.691268294595294E-16
44575,1.3733099467659013E-15,-1.0987764376303324E-16,1.9302046668079718E-16,-7.109163462569337E-16
49500,9.336889759100177E-15,-5.704644873046834E-16,-1.6128765889302828E-15,-1.908726004004198E-15
54884,6.615440943225289E-15,5.735345048534422E-16,-7.189895928205607E-16,-1.043063696939687E-15
58043,1.1977026775533748E-15,4.31068875959405E-16,-5.812415011419541E-16,1.2541185088579011E-17
59709,3.1189606531280902E-15,-1.8158518147243774E-16,1.2040048077730064E-15,-4.180617483303004E-16
7155,4.822865317469669E-15,1.1649689126558713E-15,-7.368575755899942E-16,-7.772219926303673E-16
16410,1.0880608090297986E-16,3.4389327674003235E-17,6.623444244675325E-17,-5.838695493520924E-17
18093,9.920494651814817E-16,-1.4459719277127135E-16,-3.612330057504125E-16,4.4083569403499855E-16
21217,5.4509778438776675E-15,1.245771025425053E-15,3.539336043489969E-16,-3.5487364597731373E-16
