id,x,y,z,vx,vy,vz,m
1,-0.582764,-0.0370642,-0.660069,-0.0827384,-0.0886763,0.344292,0.00195312
2,4.83597,-0.301559,-1.73485,0.412414,0.238486,0.177924,0.00195312
3,0.572035,0.264169,-0.145881,0.0806419,0.0115924,-0.334305,0.00195312
4,0.403931,-0.0286954,-0.220938,-0.746042,0.770022,-0.111804,0.00195312
5,-0.0456786,0.890727,-0.119205,0.151961,0.190939,0.263814,0.00195312
6,-0.53449,-0.139537,0.978507,0.373296,0.378118,-0.027497,0.00195312
7,-0.285569,-0.718095,-0.660926,0.663497,-0.342987,-0.169336,0.00195312
8,0.396392,0.33924,0.472761,-0.0344257,0.0269327,-0.188194,0.00195312
9,0.132971,0.440102,-0.219359,-0.763888,0.136162,-0.380716,0.00195312
10,-4.62558,1.13694,0.218911,-0.115316,-0.113382,-0.0968708,0.00195312
11,-0.727783,-0.0189221,0.630077,-0.0488161,0.365535,0.440401,0.00195312
12,-0.213354,-0.309602,0.0950335,-0.877272,-0.444773,-0.482224,0.00195312
13,0.158684,-0.240646,-0.179183,0.247507,0.0135383,-0.128892,0.00195312
14,2.9396,-1.38282,-1.45484,0.079862,0.287931,-0.15257,0.00195312
15,0.151113,0.235735,-0.252165,0.119614,0.283813,-0.830283,0.00195312
16,-0.53529,0.172617,-0.18912,0.232086,0.820034,0.845641,0.00195312
17,-0.198766,1.23066,-0.79569,0.336896,0.13735,-0.616108,0.00195312
18,0.42704,0.606534,0.0224467,0.238492,-0.444307,-0.108007,0.00195312
19,-0.0541217,2.78832,-0.680749,0.17042,0.181534,0.141263,0.00195312
20,-0.00980709,0.168137,0.137545,-0.116189,-0.206467,0.953399,0.00195312
21,-0.164247,0.479556,0.229069,-0.0443307,0.426082,0.250395,0.00195312
22,-0.793366,0.320786,0.13676,-0.259171,-0.0281936,0.0442116,0.00195312
23,0.00499681,0.209251,-1.18022,0.0293361,-0.273212,0.599668,0.00195312
24,-0.378872,-0.298583,0.932057,-0.0776411,-0.60935,0.522211,0.00195312
25,-0.962318,-0.0850569,-0.175767,0.41499,0.244883,0.100875,0.00195312
26,-0.228006,-0.400893,0.210446,-0.61223,-0.47547,0.04803,0.00195312
27,-0.302964,0.385533,0.474354,0.13449,-0.174459,-0.156002,0.00195312
28,0.125628,-0.0525293,0.247524,0.251917,0.0282563,-0.633127,0.00195312
29,-0.0240146,0.526027,-0.489063,0.333496,-0.424015,0.136678,0.00195312
30,-0.386124,0.0951499,0.405752,-0.417144,0.00180251,0.504286,0.00195312
31,-0.615074,-0.429532,0.131962,0.473801,0.187354,0.817237,0.00195312
32,0.699874,0.736752,-0.198972,0.44122,0.291999,0.312958,0.00195312
33,2.7777,-3.78611,5.60898,-0.0548973,-0.0817134,-0.0337759,0.00195312
34,-0.285998,0.609307,0.206104,0.22863,0.531648,0.663997,0.00195312
35,0.137895,-0.1666,2.91743,0.272224,0.157573,-0.278319,0.00195312
36,0.363061,-0.445817,-0.000948023,-0.567171,0.169045,0.232762,0.00195312
37,0.870697,-0.953465,0.568611,0.393844,0.0742138,0.413732,0.00195312
38,-0.259191,-0.311991,-0.540039,-0.659463,-0.506842,0.178365,0.00195312
39,-0.566572,0.359384,-0.4573,-0.334808,0.435614,-0.53711,0.00195312
40,0.308284,-0.0433158,0.0299892,-0.880965,0.227473,-0.339703,0.00195312
41,-0.266484,0.0689417,-0.14332,-0.924958,0.00415279,-0.227829,0.00195312
42,-0.0759187,-0.186457,0.429383,0.397358,0.517207,-0.682428,0.00195312
43,-0.829391,-0.757505,-0.60608,-0.10654,-0.229662,0.194755,0.00195312
44,0.109045,0.280149,-0.390789,0.750377,0.12894,-0.710897,0.00195312
45,0.795428,0.666766,-0.72092,0.225496,-0.0691881,0.110732,0.00195312
46,0.012367,0.189037,-0.723452,-0.434331,-0.29831,-0.17425,0.00195312
47,0.268561,0.113433,0.177598,0.0829291,-0.115499,-0.20339,0.00195312
