id,x,y,z,vx,vy,vz,m
1,-0.854458,0.456202,-0.185025,-0.573451,0.422903,-0.447201,6.10352e-05
2,-0.4004,0.222019,-0.296826,1.00893,0.00220333,0.0964871,6.10352e-05
3,-1.19647,1.1345,0.0708748,-0.21842,-0.19014,0.291231,6.10352e-05
4,-0.0608815,0.212503,0.276385,-0.470396,0.108202,-0.868032,6.10352e-05
5,-0.0870725,-0.0361559,-0.0242093,0.311373,-0.0320377,0.410196,6.10352e-05
6,-0.218854,-0.488743,0.10731,-0.699089,-0.202995,-0.868077,6.10352e-05
7,0.284775,-0.303181,0.46528,-0.589744,0.427278,-0.63705,6.10352e-05
8,0.0138817,0.124734,-0.198805,-0.161098,0.611089,0.754269,6.10352e-05
9,0.132436,-0.327988,0.00722098,0.0987956,-0.288454,0.284716,6.10352e-05
10,-0.300787,0.112002,-0.0394973,-0.33053,-0.128984,-0.151417,6.10352e-05
11,-0.191322,-0.0561584,-0.278843,0.248324,0.0223495,1.00237,6.10352e-05
12,0.731431,0.454706,-0.711051,-0.822999,0.431686,-0.118647,6.10352e-05
13,0.120914,-0.611406,-0.846605,0.205509,0.0537288,0.218146,6.10352e-05
14,-0.523149,0.102723,0.00686175,-0.505831,-0.624005,-0.0157262,6.10352e-05
15,0.915933,0.564195,0.577093,0.449194,0.218649,0.543794,6.10352e-05
16,0.417266,0.460539,0.100911,0.0139079,-0.582428,-0.203403,6.10352e-05
17,1.49622,0.7127,0.150275,-0.407516,-0.0376679,0.324348,6.10352e-05
18,-0.770038,0.514333,-0.425252,0.175344,-0.221058,-0.0062652,6.10352e-05
19,0.014287,-0.131752,-0.0813711,0.302265,0.677111,0.153195,6.10352e-05
20,-0.100731,0.110916,-0.0325901,-0.365735,0.559321,-0.180616,6.10352e-05
21,0.11024,0.191951,-0.565239,0.320894,-0.146564,0.230726,6.10352e-05
22,-0.899333,-0.311114,-1.12275,-0.0616315,0.00570554,-0.338367,6.10352e-05
23,0.000899998,-0.186019,-0.170816,-0.550931,-0.215373,0.440333,6.10352e-05
24,7.04739,1.80167,1.54559,-0.0152984,-0.0953886,-0.174721,6.10352e-05
25,-0.405767,0.0502634,0.627327,-0.0432738,0.146296,1.07884,6.10352e-05
26,0.0206573,-0.283307,-0.706737,0.345873,-0.559034,-0.0873651,6.10352e-05
27,-0.557807,0.370005,0.54946,0.11886,-0.131087,-0.305391,6.10352e-05
28,-0.258805,0.057323,-0.393632,-0.798005,-0.263346,0.184342,6.10352e-05
29,-0.347382,0.764901,-0.489519,-0.280182,-0.513466,0.0825662,6.10352e-05
30,0.609252,0.485632,0.662004,-0.476311,0.709352,-0.287689,6.10352e-05
31,0.326606,-0.161612,-0.121127,0.0167859,-0.00178856,0.787548,6.10352e-05
32,0.65438,0.171849,-0.64596,-0.350821,-0.305064,0.0703551,6.10352e-05
33,-0.407523,0.731551,-1.97597,-0.345333,-0.14332,0.261026,6.10352e-05
34,-0.395526,-0.0316945,-0.123866,-0.214117,-0.81997,-0.201364,6.10352e-05
35,0.109315,0.0759015,-0.463843,0.704012,0.113431,0.279298,6.10352e-05
36,0.19322,-0.0922412,0.289985,-0.512706,0.320682,-0.926902,6.10352e-05
37,-0.904239,0.486578,0.10452,-0.291798,-0.0983359,-0.407103,6.10352e-05
38,0.0413527,0.101268,-0.427059,0.53186,-0.995881,-0.775035,6.10352e-05
39,0.265812,0.277191,0.518434,0.414703,-0.427783,-0.229325,6.10352e-05
40,0.480677,0.151933,0.0460447,0.555418,-0.431824,-0.35996,6.10352e-05
41,0.101085,-0.762304,0.0558713,-0.0199569,0.541357,-0.638676,6.10352e-05
42,0.301607,0.290237,-0.198862,-0.0938986,0.0964058,-0.870216,6.10352e-05
43,0.517432,-0.227973,-0.38408,-0.0604297,0.438656,0.830865,6.10352e-05
44,-0.161276,0.358683,0.376178,-0.084473,0.0626423,-0.564345,6.10352e-05
45,-4.64118,3.98981,-1.55267,0.113223,0.0385087,0.28681,6.10352e-05
46,0.291071,-0.274879,0.0838935,-0.058396,0.582627,-0.334646,6.10352e-05
47,0.0284279,-0.470419,0.143312,-0.851242,0.866888,-0.0395471,6.10352e-05
48,0.757244,0.498665,0.438244,-0.296348,-0.158994,-0.619628,6.10352e-05
49,0.148216,0.164497,-0.0976584,0.75787,0.134347,0.383754,6.10352e-05
50,1.81125,1.4032,0.656349,0.00655441,0.176494,0.504931,6.10352e-05
51,0.886474,0.0745685,-1.78106,-0.0171768,-0.424411,-0.175082,6.10352e-05
52,0.320345,0.366218,-0.575329,0.703105,0.163682,-0.180883,6.10352e-05
53,0.131618,0.115536,0.434972,0.480735,-0.509635,0.326731,6.10352e-05
54,-0.342173,0.103118,-0.59869,0.326986,-0.166652,1.14877,6.10352e-05
55,0.200063,-0.115765,-0.115447,0.946857,0.331583,-0.418831,6.10352e-05
56,0.695813,-0.337341,0.349608,-0.309569,-0.0321127,-0.100618,6.10352e-05
57,0.195764,2.34829,-2.16755,0.33772,-0.24606,-0.33425,6.10352e-05
58,0.727517,1.02142,0.295308,0.516847,-0.340083,-0.0320063,6.10352e-05
59,0.165737,0.0542131,-0.233292,0.0445946,0.565136,-0.496962,6.10352e-05
60,1.39853,2.40788,1.96184,-2.10515e-05,0.159292,-0.306414,6.10352e-05
61,0.371652,-0.621868,0.0317028,0.0830425,-0.496272,-0.307036,6.10352e-05
62,0.372122,-0.755407,0.0536228,-0.400579,-0.300772,0.163858,6.10352e-05
63,-0.395803,-1.1447,0.17826,0.00714479,0.0363985,-0.439666,6.10352e-05
64,-0.20313,-0.451865,-0.411156,-0.782964,0.184288,0.536817,6.10352e-05
65,-4.98448,1.12486,2.70363,0.0595831,0.0780621,-0.0964605,6.10352e-05
66,0.458441,0.0878552,-0.313709,-0.342984,0.353371,-0.489425,6.10352e-05
67,0.365742,-0.406926,0.184939,-0.0112581,0.434104,0.218788,6.10352e-05
68,-0.120791,0.00540471,-0.179635,0.336508,0.112588,-0.257087,6.10352e-05
69,0.944162,1.49939,0.457279,0.647201,0.0940244,-0.245107,6.10352e-05
70,0.0736592,0.103592,-0.128363,0.58041,0.726859,0.375242,6.10352e-05
71,0.402615,1.91792,1.74153,0.288472,0.147772,0.152722,6.10352e-05
72,0.244521,-0.51298,0.281063,-0.0701956,0.279894,0.366109,6.10352e-05
73,-0.096079,0.221672,-0.11868,-0.173031,0.176204,-0.137979,6.10352e-05
74,0.143066,-0.478927,-0.120618,-0.376934,-0.716044,0.0258071,6.10352e-05
75,0.324274,-0.335741,0.30728,-0.0668623,-0.565065,0.206597,6.10352e-05
76,1.09424,1.49302,0.430392,-0.0075859,0.461866,0.172891,6.10352e-05
77,0.0325128,-0.0615278,-0.29459,-0.216074,-0.383547,-0.452355,6.10352e-05
78,0.0666206,0.208026,0.74235,-0.287983,0.265851,0.00868537,6.10352e-05
79,-0.652694,0.0615503,-1.24582,0.171748,-0.296599,-0.224979,6.10352e-05
80,-0.234588,0.245275,0.123311,-0.169319,-0.936571,-0.198446,6.10352e-05
81,-0.32491,0.385662,-0.319598,-0.511048,0.255294,-0.304308,6.10352e-05
82,-0.128416,-0.788337,0.139211,0.359024,-0.291752,-0.210986,6.10352e-05
83,0.66791,0.516085,-0.230377,0.471033,0.212163,0.554985,6.10352e-05
84,0.325924,0.208636,-0.183071,-0.416865,0.0707358,-0.130057,6.10352e-05
85,1.08424,-1.4706,0.14914,-0.531599,-0.121822,0.026667,6.10352e-05
86,0.323871,0.927135,-0.607944,0.149276,-0.23534,-0.467208,6.10352e-05
87,0.187153,-0.507344,-0.083055,-0.32785,0.239816,0.231833,6.10352e-05
88,0.670771,-1.766,0.736625,0.280057,-0.328272,-0.130356,6.10352e-05
89,0.0879938,-0.179805,0.285255,-0.894975,-0.280992,-0.255159,6.10352e-05
90,0.986027,-0.0783218,-0.208613,0.353168,-0.0435243,0.0104396,6.10352e-05
91,0.145825,0.0747027,-0.387659,0.175152,0.272136,-0.284664,6.10352e-05
92,-0.689194,0.215709,0.549525,-0.688457,0.806019,0.109228,6.10352e-05
93,-1.11586,0.9874,0.304008,-0.0696105,-0.410724,-0.302638,6.10352e-05
94,-0.35882,-0.0902598,0.169178,0.610377,-0.262487,-0.486858,6.10352e-05
95,1.42051,-0.631908,0.94979,0.515653,0.454937,0.0503435,6.10352e-05
96,0.432823,-0.462397,1.04128,0.362186,-0.0755364,-0.226887,6.10352e-05
97,1.0178,-0.401243,-0.341987,0.00153376,0.197178,0.115352,6.10352e-05
98,0.426058,-0.116965,0.325337,0.0163931,0.900026,-0.457528,6.10352e-05
99,-3.01571,1.29722,2.75022,-0.251355,-0.450691,-0.0005957,6.10352e-05
100,-0.480953,0.632289,-0.0888946,-0.0178239,-0.045819,-0.158975,6.10352e-05
101,0.0291077,-0.148208,-0.548236,0.0791858,0.260827,0.474535,6.10352e-05
102,1.00739,0.541859,1.08184,-0.220403,-0.297221,0.102127,6.10352e-05
103,-0.197789,0.0673223,-0.0653913,-0.404682,-0.229895,-0.112716,6.10352e-05
104,-0.142576,0.0902545,-0.0419732,0.502292,-0.709554,-0.388453,6.10352e-05
105,-0.752175,0.720802,-0.291045,0.311062,-0.0488856,0.129824,6.10352e-05
106,0.193473,0.650653,0.0114155,0.252046,0.0862301,0.0845755,6.10352e-05
107,0.264361,-0.402797,0.31615,-0.704157,-0.298254,-0.395299,6.10352e-05
108,0.246124,0.377955,-1.09443,-0.545255,-0.163106,-0.736152,6.10352e-05
109,-0.898254,-0.411124,-0.984821,0.112251,0.00659366,0.651559,6.10352e-05
110,-0.186628,0.570342,0.901097,0.409547,-0.466711,0.511644,6.10352e-05
