id,x,y,z,vx,vy,vz,m
1,-0.623222,-0.0490267,-0.626831,-0.103986,-0.0870799,0.30868,0.00390625
2,4.79551,-0.313521,-1.70162,0.391166,0.240083,0.142312,0.00390625
3,0.531578,0.252207,-0.112643,0.0593938,0.0131887,-0.369917,0.00390625
4,0.363473,-0.0406578,-0.187701,-0.76729,0.771619,-0.147416,0.00390625
5,-0.086136,0.878765,-0.0859673,0.130713,0.192536,0.228202,0.00390625
6,-0.574948,-0.1515,1.01174,0.352048,0.379714,-0.0631087,0.00390625
7,-0.326027,-0.730057,-0.627688,0.642249,-0.341391,-0.204947,0.00390625
8,0.355934,0.327278,0.505999,-0.0556739,0.028529,-0.223806,0.00390625
9,0.0925139,0.428139,-0.186122,-0.785136,0.137759,-0.416328,0.00390625
10,-4.66604,1.12498,0.252148,-0.136564,-0.111786,-0.132483,0.00390625
11,-0.768241,-0.0308846,0.663314,-0.0700642,0.367131,0.404789,0.00390625
12,-0.253811,-0.321565,0.128271,-0.89852,-0.443176,-0.517836,0.00390625
13,0.118227,-0.252608,-0.145945,0.226259,0.0151347,-0.164504,0.00390625
14,2.89914,-1.39479,-1.4216,0.0586139,0.289527,-0.188182,0.00390625
15,0.110656,0.223773,-0.218928,0.0983662,0.285409,-0.865895,0.00390625
16,-0.575748,0.160655,-0.155882,0.210838,0.82163,0.810029,0.00390625
17,-0.239224,1.2187,-0.762453,0.315648,0.138946,-0.65172,0.00390625
18,0.386583,0.594571,0.0556841,0.217244,-0.44271,-0.143619,0.00390625
19,-0.0945791,2.77636,-0.647512,0.149172,0.18313,0.105651,0.00390625
20,-0.0502645,0.156174,0.170782,-0.137438,-0.204871,0.917787,0.00390625
21,-0.204705,0.467594,0.262307,-0.0655788,0.427679,0.214783,0.00390625
22,-0.833824,0.308824,0.169998,-0.280419,-0.0265972,0.00859979,0.00390625
23,-0.0354606,0.197288,-1.14698,0.00808801,-0.271616,0.564056,0.00390625
24,-0.41933,-0.310545,0.965295,-0.0988893,-0.607753,0.486599,0.00390625
25,-1.00278,-0.0970194,-0.14253,0.393742,0.246479,0.0652633,0.00390625
26,-0.268464,-0.412856,0.243684,-0.633478,-0.473873,0.0124182,0.00390625
27,-0.343422,0.37357,0.507591,0.113242,-0.172862,-0.191614,0.00390625
