id,x,y,z,vx,vy,vz,m
1,-0.570453,-0.0544111,-0.627691,-0.0761437,-0.0984996,0.337867,0.000488281
2,4.84828,-0.318906,-1.70248,0.419009,0.228663,0.171499,0.000488281
3,0.584347,0.246823,-0.113503,0.0872366,0.00176906,-0.34073,0.000488281
4,0.416242,-0.0460422,-0.18856,-0.739448,0.760199,-0.118229,0.000488281
5,-0.0333671,0.87338,-0.0868268,0.158556,0.181116,0.257389,0.000488281
6,-0.522179,-0.156884,1.01089,0.379891,0.368295,-0.0339222,0.000488281
7,-0.273258,-0.735442,-0.628548,0.670092,-0.352811,-0.175761,0.000488281
8,0.408703,0.321893,0.505139,-0.0278311,0.0171094,-0.194619,0.000488281
9,0.145283,0.422755,-0.186981,-0.757293,0.126339,-0.387141,0.000488281
10,-4.61327,1.1196,0.251288,-0.108722,-0.123206,-0.103296,0.000488281
11,-0.715472,-0.036269,0.662454,-0.0422215,0.355712,0.433976,0.000488281
12,-0.201042,-0.326949,0.127411,-0.870677,-0.454596,-0.488649,0.000488281
13,0.170996,-0.257993,-0.146805,0.254101,0.003715,-0.135317,0.000488281
14,2.95191,-1.40017,-1.42246,0.0864566,0.278108,-0.158995,0.000488281
15,0.163425,0.218388,-0.219787,0.126209,0.27399,-0.836708,0.000488281
16,-0.522979,0.15527,-0.156742,0.238681,0.81021,0.839216,0.000488281
17,-0.186455,1.21332,-0.763313,0.343491,0.127527,-0.622534,0.000488281
18,0.439352,0.589187,0.0548246,0.245087,-0.45413,-0.114432,0.000488281
19,-0.0418102,2.77097,-0.648372,0.177015,0.17171,0.134838,0.000488281
20,0.00250442,0.15079,0.169923,-0.109595,-0.216291,0.946974,0.000488281
21,-0.151936,0.462209,0.261447,-0.0377361,0.416259,0.24397,0.000488281
22,-0.781055,0.30344,0.169138,-0.252576,-0.0380169,0.0377863,0.000488281
23,0.0173083,0.191904,-1.14784,0.0359308,-0.283036,0.593242,0.000488281
24,-0.366561,-0.31593,0.964435,-0.0710465,-0.619173,0.515786,0.000488281
25,-0.950007,-0.102404,-0.143389,0.421585,0.235059,0.0944499,0.000488281
26,-0.215695,-0.41824,0.242824,-0.605635,-0.485293,0.0416048,0.000488281
27,-0.290653,0.368186,0.506732,0.141085,-0.184282,-0.162427,0.000488281
28,0.13794,-0.0698762,0.279902,0.258512,0.018433,-0.639553,0.000488281
29,-0.0117031,0.50868,-0.456685,0.340091,-0.433838,0.130253,0.000488281
30,-0.373813,0.077803,0.43813,-0.410549,-0.00802081,0.497861,0.000488281
31,-0.602763,-0.446878,0.16434,0.480396,0.177531,0.810812,0.000488281
32,0.712186,0.719405,-0.166594,0.447815,0.282175,0.306533,0.000488281
33,2.79001,-3.80345,5.64136,-0.0483027,-0.0915367,-0.0402011,0.000488281
34,-0.273687,0.59196,0.238482,0.235224,0.521824,0.657571,0.000488281
35,0.150207,-0.183947,2.9498,0.278818,0.14775,-0.284745,0.000488281
36,0.375373,-0.463164,0.0314299,-0.560576,0.159222,0.226337,0.000488281
37,0.883009,-0.970812,0.600989,0.400438,0.0643905,0.407307,0.000488281
38,-0.24688,-0.329338,-0.507661,-0.652869,-0.516666,0.17194,0.000488281
39,-0.55426,0.342037,-0.424922,-0.328214,0.42579,-0.543535,0.000488281
40,0.320595,-0.0606626,0.0623672,-0.87437,0.21765,-0.346128,0.000488281
41,-0.254172,0.0515948,-0.110942,-0.918364,-0.00567053,-0.234254,0.000488281
42,-0.0636072,-0.203804,0.461761,0.403953,0.507384,-0.688853,0.000488281
43,-0.817079,-0.774852,-0.573702,-0.0999452,-0.239485,0.188329,0.000488281
44,0.121357,0.262802,-0.358411,0.756972,0.119117,-0.717322,0.000488281
45,0.807739,0.649419,-0.688542,0.23209,-0.0790114,0.104307,0.000488281
46,0.0246785,0.17169,-0.691074,-0.427736,-0.308133,-0.180675,0.000488281
47,0.280873,0.0960864,0.209976,0.0895237,-0.125323,-0.209815,0.000488281
48,0.794138,0.246929,1.24274,-0.151707,-0.184238,0.325697,0.000488281
49,-0.12212,0.0340923,0.605856,0.453055,-0.261004,0.168874,0.000488281
50,0.830523,-0.779353,0.285061,0.106654,-0.174411,-0.0697471,0.000488281
51,-0.385744,0.207898,-0.51369,0.409008,-0.0513895,0.869188,0.000488281
52,-0.0940462,-0.622264,-0.81488,-0.00667896,0.145116,0.49448,0.000488281
53,1.25677,-0.682269,0.0378769,-0.0351803,-0.293816,0.251759,0.000488281
54,0.531268,0.849804,0.508131,-0.0390256,0.287964,-0.00264205,0.000488281
55,0.709794,-0.85548,0.349509,0.0633132,0.645476,-0.571801,0.000488281
56,0.0620518,0.300088,-1.27228,-0.510616,-0.252368,0.310327,0.000488281
57,0.156505,0.264908,0.22245,-0.272196,0.22699,-0.370069,0.000488281
58,0.29408,0.462015,-1.26912,-0.64504,-0.288944,-0.144838,0.000488281
59,1.9015,1.4965,1.56263,-0.0267546,-0.146588,0.00243224,0.000488281
60,-0.212798,2.22785,0.279194,0.401405,-0.133722,-0.178991,0.000488281
61,-0.150434,0.132251,-0.276613,-0.293624,1.08465,-0.201881,0.000488281
62,0.874099,0.329081,-1.30735,0.0411767,-0.0395598,0.334711,0.000488281
63,1.67269,-0.95972,0.869044,-0.0818911,-0.0331715,0.206783,0.000488281
64,1.28454,-0.0734604,3.70706,0.18246,0.05671,0.0703444,0.000488281
65,0.283046,-0.650896,-0.658428,0.514909,0.0270263,0.511658,0.000488281
66,-1.72226,0.0857779,-0.542801,0.118903,0.188714,0.246262,0.000488281
67,-0.573951,0.578622,-0.122162,0.830677,0.167822,0.0831451,0.000488281
68,-0.0392169,-0.100813,0.0264509,0.454663,0.619415,0.641223,0.000488281
69,-0.0244602,0.654322,0.526946,-0.755864,-0.679771,-0.0102683,0.000488281
70,-0.597213,0.088938,-0.170907,0.404805,-0.09389,0.722554,0.000488281
71,0.346397,0.536501,0.0752835,0.854886,0.21301,0.306295,0.000488281
72,-0.207073,-0.0777371,-0.0971347,-1.18393,-0.140878,0.320858,0.000488281
73,-0.749842,0.0420444,-0.128584,0.418147,0.113163,-0.200633,0.000488281
74,0.560505,-0.251943,0.224996,-0.11389,0.311051,0.621537,0.000488281
75,0.351368,0.286506,0.0842476,0.64804,-0.591206,-0.639578,0.000488281
76,-0.0153038,0.0997376,-0.184149,0.0144468,0.344409,0.408094,0.000488281
77,-1.80086,0.548753,0.124551,-0.0429266,0.0837304,0.345696,0.000488281
78,0.378686,0.0683533,-0.328317,0.562345,-0.0850014,0.0647415,0.000488281
79,-0.11874,0.0589687,-0.304444,0.0135624,0.684918,-0.364166,0.000488281
80,-0.115084,-0.711289,-0.451923,0.0587973,-0.0661909,-0.116502,0.000488281
81,0.333974,-0.53188,0.640233,-0.0716366,-0.602847,-0.0795922,0.000488281
82,-0.734147,-0.436755,-0.0715122,0.364816,-0.494382,0.0207658,0.000488281
83,0.960204,0.321313,0.672768,-0.353333,-0.221986,0.345646,0.000488281
84,-0.241255,0.0168866,-0.369071,-0.355711,-0.794049,-0.110042,0.000488281
85,-0.0456282,-0.323274,0.410616,0.0468984,-0.098831,0.602346,0.000488281
86,1.79934,-2.25165,0.282925,0.408968,0.0969889,0.157321,0.000488281
87,0.21654,0.645116,0.360329,0.410581,0.352873,0.249042,0.000488281
88,0.0464277,0.105612,0.101264,0.39904,-0.225215,-0.248254,0.000488281
89,-0.188607,-0.273526,-0.28146,-0.0354033,0.59632,0.0260213,0.000488281
90,-0.450623,-0.176691,0.179429,-0.632308,-0.592087,0.288641,0.000488281
91,-1.06727,1.08162,-0.0046056,0.193244,-0.0575145,-0.238425,0.000488281
92,0.221797,0.573107,0.336623,-0.385023,-0.251481,0.51734,0.000488281
93,-0.440141,0.952866,0.383991,-0.398451,0.145218,0.59935,0.000488281
94,-0.9151,0.0650601,0.618902,-0.625528,-0.451059,-0.0319566,0.000488281
95,0.274551,0.0728646,-0.0852525,-0.341697,0.140924,-0.620375,0.000488281
96,-0.364791,-0.891389,-1.96864,0.181544,0.311022,0.0524612,0.000488281
97,-0.334349,0.206586,0.47564,0.671374,0.357987,-0.615279,0.000488281
98,-0.641329,-0.793136,0.80531,0.211285,-0.664011,0.331711,0.000488281
99,-0.232785,-0.193353,0.211272,-0.256932,0.591269,-0.324646,0.000488281
100,-0.593716,-0.900445,-1.73753,0.162563,-0.263271,0.359771,0.000488281
101,-0.851199,-1.00728,-2.78825,-0.120428,0.0202406,0.131562,0.000488281
102,-2.10852,0.813364,0.516758,0.142221,-0.783338,0.111567,0.000488281
103,0.110052,-0.577673,-0.049022,-0.306974,-0.700078,0.130506,0.000488281
104,0.182712,-0.264487,0.0316043,0.264944,0.306269,0.635805,0.000488281
105,-0.0195874,0.335639,0.305985,-0.565066,0.0451967,-0.0241241,0.000488281
106,0.188487,-0.489587,0.103082,-0.677604,0.747683,0.232923,0.000488281
107,-0.222038,-0.221959,0.439378,0.644047,0.603745,-0.473684,0.000488281
108,0.00751314,0.654073,0.0324298,-0.0441485,0.766503,0.43214,0.000488281
109,-2.03433,2.34971,-6.65312,-0.170726,-0.0428007,-0.159214,0.000488281
110,-1.38271,-0.334261,-0.534478,0.124228,0.747206,0.400782,0.000488281
111,-0.54392,0.205171,0.052352,0.46885,0.342461,0.548448,0.000488281
112,0.384259,0.407302,0.116528,-0.201565,0.694278,0.25092,0.000488281
113,1.64698,1.5257,0.668653,0.155032,-0.0531004,-0.152189,0.000488281
114,0.0418711,-0.16538,-0.00169797,0.0186681,-0.25456,0.568773,0.000488281
115,-0.70169,-0.30457,0.250487,-0.0943588,-0.0518685,-0.435829,0.000488281
116,-4.50265,0.169915,-1.75992,0.0733256,-0.34745,-0.151711,0.000488281
117,0.143107,-0.111395,-0.318644,0.316926,0.568507,-0.573075,0.000488281
118,-0.160844,-0.445892,-1.10132,-0.0583553,-0.0484611,-0.0452247,0.000488281
119,0.00842333,0.461216,0.0408263,0.243936,-0.374068,0.33422,0.000488281
120,-0.267589,-0.210409,-0.773828,-0.281812,-0.863892,-0.419289,0.000488281
121,0.327568,-0.0364886,-0.12267,0.365858,-0.168575,-0.511972,0.000488281
122,-0.00939035,-0.049647,-0.0492148,0.741457,0.450842,0.478924,0.000488281
123,0.545348,-0.370929,-0.378077,0.0203813,-0.729682,-0.161462,0.000488281
124,0.193296,0.0710897,0.159736,-0.0149473,0.867476,-0.174513,0.000488281
125,0.311796,0.219187,-0.334782,0.397374,-0.162853,0.254486,0.000488281
126,0.0373532,-0.828253,0.454967,0.500036,-0.357698,-0.593415,0.000488281
127,-1.603,-0.305502,-2.52493,0.0387556,-0.15751,-0.10044,0.000488281
128,3.06329,-2.58948,-3.91923,0.250872,0.150761,-0.12254,0.000488281
129,-0.0471493,0.263725,0.628887,0.0209968,0.394213,0.0750432,0.000488281
130,-0.0287519,0.153998,-0.151985,-0.298319,1.0553,-0.0492974,0.000488281
131,-0.130468,0.0633471,-0.0916594,-0.16755,0.317435,0.823251,0.000488281
132,3.94822,-0.118677,-1.25858,-0.240616,0.00615244,0.226795,0.000488281
133,0.564396,0.717416,-1.20938,0.149267,-0.510234,0.253341,0.000488281
134,0.333503,-0.706676,-0.528691,-0.844048,-0.142329,0.0707989,0.000488281
135,0.296026,0.106916,0.147718,0.438665,-0.281911,0.779504,0.000488281
136,0.372405,0.156518,-0.254226,0.483737,-0.0200139,-0.0204033,0.000488281
137,-1.80241,-2.20172,0.938956,-0.179999,0.231706,0.178013,0.000488281
138,4.61754,-3.85237,3.54019,-0.144931,0.112313,-0.139812,0.000488281
139,0.437816,-0.495366,-0.679606,0.0717061,-0.221556,-0.451879,0.000488281
140,0.22487,-0.848179,-0.0507529,0.435325,0.0590694,0.226838,0.000488281
141,0.593168,0.891791,0.701262,0.194166,-0.0543311,0.632092,0.000488281
142,0.235431,-0.140611,1.77561,-0.366238,-0.172084,-0.396175,0.000488281
143,0.366119,0.129654,0.327034,0.723187,-0.139188,-0.349052,0.000488281
144,0.011186,-0.133169,0.176275,0.115796,-0.222722,0.0973061,0.000488281
145,-0.213886,0.108862,-0.72579,-0.285397,-0.213024,0.465729,0.000488281
146,0.674987,-0.905891,0.321626,0.310945,0.336746,-0.198212,0.000488281
147,-0.209185,0.048344,0.569014,0.157251,0.491636,-0.503351,0.000488281
148,-0.170825,-0.0426753,0.461144,0.233379,-0.051232,0.192552,0.000488281
149,0.334338,1.37933,0.234799,0.222155,-0.0203174,-0.368083,0.000488281
150,1.23583,-0.860105,0.612258,0.0794706,0.298946,-0.0871011,0.000488281
151,0.0986128,-0.228034,-0.0849481,0.820936,0.615383,0.216192,0.000488281
152,-0.0218098,0.177025,0.006687,0.284916,1.32903,-0.0931337,0.000488281
153,-0.00162774,0.0248212,0.145864,0.0335983,0.032825,-0.14407,0.000488281
154,0.160336,-0.28954,-0.398236,-0.517508,-0.388605,0.0817459,0.000488281
155,0.142781,0.0656602,0.343465,-1.03211,-0.476776,0.168616,0.000488281
156,0.0805976,-0.368939,-0.177254,0.27698,-0.0618278,0.691599,0.000488281
157,-0.208641,0.10446,0.0301421,-0.187381,0.281749,-0.510687,0.000488281
158,0.462833,0.424797,-0.293775,-0.0465019,0.216474,0.366567,0.000488281
159,-6.66377,0.152058,2.20485,0.292089,-0.0724848,0.166304,0.000488281
160,0.637148,-0.259546,0.216479,-0.286413,-0.547647,0.150228,0.000488281
161,-0.158436,-0.496737,0.426698,0.225782,0.365227,-0.393836,0.000488281
162,0.44807,0.837851,-0.514968,0.0282251,-0.476172,-0.161395,0.000488281
163,0.726379,-0.234233,-0.176756,0.339419,-0.529324,0.033205,0.000488281
164,0.797715,0.642806,-0.927327,-0.0494669,0.382939,-0.244634,0.000488281
165,0.491333,-0.129297,-0.382675,0.282868,-0.494302,0.0270966,0.000488281
