id,x,y,z,vx,vy,vz,m
1,-1.17774,-0.0707124,-0.398743,-0.185064,-0.23673,0.34993,0.125
2,4.24099,-0.335207,-1.47353,0.310089,0.090433,0.183562,0.125
3,-0.0229429,0.230521,0.115445,-0.0216836,-0.136461,-0.328667,0.125
4,-0.191048,-0.0623436,0.0403872,-0.848368,0.621969,-0.106166,0.125
5,-0.640657,0.857079,0.142121,0.0496358,0.0428858,0.269452,0.125
6,-1.12947,-0.173186,1.23983,0.270971,0.230065,-0.0218587,0.125
7,-0.880547,-0.751743,-0.3996,0.561171,-0.491041,-0.163697,0.125
8,-0.198587,0.305592,0.734087,-0.136751,-0.121121,-0.182556,0.125
